ID,G99,C56,C97,C77,C75,C58,C66,G88,C9,G47,G65,C92,G59,C23,C102,G73,G30,C6,G49,C11,C24,G32,C49,G97,G77,C13,G33,C32,C42,G29,G20,G7,C61,G26,C3,G98,C50,C87,G51,G79,G70,G55,G83,C20,C25,C48,C26,G6,G58,G8,G91,G39,C96,G69,C30,G31,G37,C84,C68,C65
FCER1A,17.18623163,6.05,0.38,0.26,10.74,8.95,11.55,2.210446606,0.42,2.981731157,4.277872174,4.19,0.438441122,1.3,0.39,2.024517442,8.039237061,45.44,3.446563186,57.36,0.12,2.406372167,17.81,8.728890053,0.679341334,33.92,1.829005244,0.06,9.39,8.004562498,0.805203711,45.87089399,42.21,1.773071849,10.86,0.104766416,2.13,57.42,2.221457908,0.588405894,3.169099432,13.10310227,1.105408941,1.57,19.99,0.45,0.14,55.9470932,0.444038454,4.549069674,4.115787529,3.836842976,37.84,11.33642395,0.73,0.403844034,2.795142631,12.49,1.07,20.01
FGFR2,0.261575441,0.19,0.07,0.1,0.12,0.28,0.12,0.0700348,0.12,0.10694123,0.038927571,0.09,0.058529595,0.04,0.21,0.013477447,0.091143363,0.49,0.064198722,0.49,0.03,0.09842477,0.27,0.147351357,0.053291484,0.77,0.058454704,0.1,0.06,0.091325701,0.044009586,0.149682226,0.13,0.183402464,0.04,0.039595025,0.01,0.14,0.064987165,0.11740914,0.035848784,0.106281818,0.039737231,0.02,0.12,0.02,0.11,0.206572059,0.039871821,0.094877655,0.036744613,0.087472288,0.23,0.066745535,0,0.086560712,0.025352542,0.27,0.06,0.51
GPR174,1.028253211,3.14,0.88,0.69,6.32,1.11,2.68,0.500266803,2.31,1.770115715,0.639623856,1.73,1.135915258,1.01,5.05,0.196641707,3.059513263,7.92,1.796817156,26.56,1.5,1.697433476,1.01,1.275738727,0.866080776,10.71,0.696270026,1.57,2.76,3.055714559,1.63300719,7.907927651,10.67,4.464854218,1.77,1.386074631,0.09,7.13,0.488542092,2.141594106,1.301897425,3.048291363,0.409211694,1.85,6.82,0.4,5.3,5.116195227,0.779551779,3.952911166,0.598147651,2.324948063,3.28,3.243982088,2.71,1.29433566,0.915307689,2.47,0.67,5.16
GRAPL,0.07246549,0.19,0,0,0.23,0.11,0.49,8.12E-05,0,0.163294762,0,0.37,0.024588162,0.1,0,0.026660427,0.110093804,0.19,0.088890538,1.89,0.15,0,0.05,0.377063048,0.09918486,0.26,0.088513933,0,0.31,0.10957718,0.141980827,0.678093355,0.56,0.059844455,0.07,0.524485826,0,0.39,0,0.051817198,0.286433905,0.148230909,0,0.39,0.52,0.04,0.72,0.190283824,0.032051272,0.295608137,0,0.121115475,0.14,0.151558032,0.38,0,0.03510352,0.16,0.07,0.31
HLA.DQA1,52.12413863,40.84,13.15,16.99,24.15,35.78,56.35,3.242082226,11.59,27.76223343,12.24992697,17.85,9.137330828,4.69,12.66,11.99089529,25.76923706,100.1,9.90705628,120.59,17.87,15.88950374,53.14,38.35061779,17.4986679,23.6,4.467649769,7.52,40.98,25.7345625,12.73791186,51.659553,53.49,12.09812706,47.63,21.2735175,12.72,111.55,3.643175151,17.489388,15.0700482,34.02590227,2.612047549,23.73,75.66,7.6,35.54,128.3927308,8.392885653,48.25804427,12.28540004,10.28301388,11.84,27.49017808,46.6,13.76095569,9.279541067,6.54,27.51,23.67
HLF,0.09894693,0.08,0,0,0.1,0.06,0.12,3.48E-05,0.01,0.05,0.028927571,0.03,0.003852959,0.02,0,0.005795745,0.052380531,0.09,0.029630179,0.97,0.04,0.027893807,0.1,0.08466892,0.018495269,0.06,0.019242159,0.05,0.21,0.052228582,0.041002397,0.091906645,0.21,0.019948152,0.04,0.055607463,0,0.28,0,0.02036344,0.052453648,0.075442273,0.030262769,0.08,0.29,0,0.06,0.363215073,0.001987182,0.027804966,0.026744613,0.040371825,0.11,0.066745535,0.05,0.012760119,0.011701173,0.07,0.01,0.06
IDO1,2.77908497,2.66,0.21,0.63,2.39,4.16,4.72,0.470742409,0.27,5.77520551,4.848237347,0.97,0.325323365,2.51,1.17,0.505325964,0.66447965,4.58,1.221370854,10.43,0.59,3.156053713,2.87,1.546416727,2.975231019,11.85,0.939508689,0.38,1.33,0.665725625,0.954988017,15.42199497,31.03,1.422676588,12.5,0.287196268,0.35,4.42,0.474296716,2.125055692,0.666019743,0.946311364,0.432171539,1.17,8.71,0.36,0.68,5.876263782,0.342115361,5.048833953,4.508787351,1.47200925,8.4,0.56556251,0.89,0.481127356,0.803027378,20.2,1.62,3.52
IL5RA,4.729051662,0.26,0.41,0.23,0.59,3.58,0.19,0.960388605,2.53,0.403998175,0.272419965,0.72,1.232974448,1.14,0.18,0.781102989,0.960375215,4.76,2.967273138,9.76,0.3,0.381858369,4.9,2.411254618,0.375611355,6.49,1.598839692,0.01,0.55,0.95830872,0.386349903,11.68682226,11.49,0.908107536,0.4,0.063582586,0.54,2.25,1.145474892,1.952238241,0.11773176,1.871213637,0.581715391,0.53,5.97,0.42,0.4,3.631370216,0.839295421,0.521950344,0.292612328,2.756020775,9.67,1.08934819,0.61,0.266604152,3.319876924,10.36,1.23,2.85
ISM1,0.036318419,0.11,0.05,0.11,0.04,0.01,0.15,1.16E-05,0,0.206589524,0.05062325,0.09,0,0.06,0.04,0.010432341,0.135998228,0.32,0.01481509,1.88,0.02,0.027628326,0.03,0.121986482,0.103573506,0.16,0.034635887,0,0.06,0.135360046,0.02699281,0.232542194,0.39,0.036675308,0.02,0.164423633,0,0.79,0,0.072544077,0.145663376,0.177346364,0.015131384,0,0.54,0,0.14,0.565319302,0,0.044390069,0.046803073,0.020185913,0,0.198066962,0.02,0.014479763,0.005850587,0.05,0.02,0.11
KIAA1671,0.175085674,0.57,0.02,0.06,0.27,0.21,0.23,0.0100232,0.33,0.07,0.024463786,0.02,0.133294703,0.01,0.58,0.018114043,0.105332743,0.61,0.202842713,1.48,0.05,0.048159289,0.18,0.108454958,0.032194323,0.55,0.036939023,0.08,0.22,0.105120015,0.204964051,0.42280371,0.39,0.513506161,0.19,0.075981342,0.01,0.87,0.011432239,0.262637642,0.045848784,0.139070455,0.01,0.12,0.32,0.01,0.33,0.686926839,0.073589827,0.287560276,0.023372307,0.265502313,0.15,0.121321427,0.09,0.154118458,0.098256844,0.17,0.06,0.35
KIF19,0.122457163,0.17,0.03,0,0.18,0.42,0.71,0,0.27,0.04694123,0.024463786,0,0.116323987,0,0.15,0.008840851,0.007047788,0.13,0.093828902,0.2,0.02,0.023946904,0.12,0.155772521,0.031097161,0.16,0,0.02,0,0.007108567,0.072983224,0.09,0.09,0.163298768,0.08,0.149221145,0.01,0.06,0,0.213001082,0.078873104,0.021769091,0,0.05,0.13,0.02,0.16,0.534325918,0.069679552,0.128780138,0.023372307,0.127844113,0.16,0,0.01,0.02,0.037053716,0.09,0.07,0.47
